Company,TypeName,Cpu,Ram,Gpu,OpSys,Weight,Price,ips,touch,screen_dpi,ssd,hdd
Lenovo,Notebook,Intel Core i5,8,Nvidia,Windows,2.3,53918.82719999999,1,0,141.21199808219862,256.0,0.0
Asus,Ultrabook,Intel Core i7,8,Intel,Windows,1.1,99793.44,0,0,157.3505121487356,512.0,0.0
Lenovo,2 in 1 Convertible,Intel Core i3,4,Intel,Windows,1.74,33513.119999999995,1,1,157.3505121487356,256.0,0.0
Asus,Gaming,Intel Core i7,32,Nvidia,Windows,3.8,149130.72,1,0,127.33567457123112,512.0,0.0
Dell,Notebook,Intel Core i7,16,AMD,Windows,2.3,62938.0656,0,0,141.21199808219862,256.0,0.0
HP,Notebook,Intel Core i5,4,Intel,Windows,1.64,41505.12,0,0,111.93520355955212,0.0,500.0
Dell,Notebook,Intel Core i7,12,Intel,Windows,2.3,37992.3696,0,0,100.45466986113652,0.0,1024.0
Dell,Notebook,Intel Core i7,8,AMD,Others,2.33,41498.1936,0,0,141.21199808219862,256.0,0.0
MSI,Gaming,Intel Core i7,8,Nvidia,Windows,2.4,65481.12,0,0,141.21199808219862,128.0,1024.0
Mediacom,Notebook,other,4,Intel,Windows,1.4,13266.72,0,0,157.3505121487356,32.0,0.0
Dell,Notebook,Intel Core i5,4,Intel,Others,1.93,46300.32,0,0,100.45466986113652,0.0,500.0
Asus,2 in 1 Convertible,Intel Core i5,8,Intel,Windows,1.1,72354.23999999999,0,1,165.6321180513006,256.0,0.0
Acer,Notebook,Intel Core i7,8,Nvidia,Windows,2.2,39693.6,1,0,141.21199808219862,0.0,1024.0
Asus,Ultrabook,Intel Core i7,8,Nvidia,Windows,1.7,55938.672,0,0,141.21199808219862,256.0,0.0
Dell,2 in 1 Convertible,Intel Core i7,16,Intel,Windows,2.09,62817.12,0,1,141.21199808219862,512.0,0.0
Dell,2 in 1 Convertible,Intel Core i5,8,Intel,Windows,2.3,58288.32,1,1,141.21199808219862,256.0,0.0
HP,Notebook,Intel Core i5,4,Intel,Windows,1.88,49656.96,0,0,100.45466986113652,0.0,500.0
Dell,Notebook,Intel Core i5,8,Intel,Windows,1.9,53733.94559999999,0,0,100.45466986113652,0.0,500.0
HP,Workstation,Intel Core i5,8,Nvidia,Windows,3.14,99153.5472,0,0,106.11306214269258,0.0,500.0
HP,Ultrabook,Intel Core i7,8,Intel,Windows,1.39,61218.72,0,1,276.053530085501,256.0,0.0
Lenovo,Notebook,Intel Core i5,8,AMD,Windows,1.9,43316.64,0,0,141.21199808219862,128.0,1024.0
Dell,Ultrabook,Intel Core i7,8,Intel,Others,1.6,58554.72,0,0,157.3505121487356,256.0,0.0
HP,Notebook,Intel Core i5,8,Nvidia,Windows,2.04,45101.52,0,0,100.45466986113652,0.0,1024.0
Dell,Notebook,other,4,Intel,Windows,1.8,16463.52,0,0,100.45466986113652,0.0,500.0
Lenovo,Notebook,Intel Core i3,4,Intel,Others,1.85,21498.48,0,0,141.21199808219862,128.0,0.0
HP,Notebook,Intel Core i5,8,AMD,Windows,1.84,71874.72,0,0,141.21199808219862,256.0,0.0
Asus,Gaming,Intel Core i7,16,Nvidia,Windows,2.2,77202.72,1,0,141.21199808219862,128.0,1024.0
Lenovo,Notebook,Intel Core i5,8,AMD,Windows,1.9,43580.376,0,0,141.21199808219862,128.0,1024.0
Asus,Gaming,Intel Core i7,16,Nvidia,Windows,2.9,128884.32,0,0,127.33567457123112,256.0,1024.0
Dell,Notebook,Intel Core i7,8,AMD,Others,2.3,42943.1472,0,0,100.45466986113652,0.0,1024.0
Dell,Notebook,Intel Core i3,4,Intel,Windows,2.18,31254.048,0,0,100.45466986113652,0.0,1024.0
Toshiba,Notebook,Intel Core i5,8,Intel,Windows,2.2,59620.32,0,0,100.45466986113652,256.0,0.0
HP,Notebook,Intel Core i5,4,Intel,Windows,1.95,64202.4,0,0,157.3505121487356,256.0,0.0
Acer,Notebook,Intel Core i7,12,Intel,Windows,2.15,35111.52,1,1,141.21199808219862,0.0,1024.0
HP,Notebook,Intel Core i5,8,Intel,Windows,1.91,30849.12,0,0,100.45466986113652,256.0,0.0
MSI,Gaming,Intel Core i7,8,Nvidia,Windows,2.7,75071.52,0,0,127.33567457123112,128.0,1024.0
Asus,2 in 1 Convertible,Intel Core i7,8,Intel,Windows,1.1,79866.72,0,1,165.6321180513006,512.0,0.0
Asus,Notebook,Intel Core i3,4,Intel,Others,2.0,22111.2,0,0,141.21199808219862,256.0,0.0
Asus,Gaming,Intel Core i7,16,Nvidia,Windows,2.99,93186.72,0,0,127.33567457123112,256.0,1024.0
Dell,Notebook,Intel Core i3,4,AMD,Others,2.25,24808.2336,0,0,100.45466986113652,0.0,1024.0
HP,Notebook,AMD Processor,6,AMD,Windows,2.1,34632.0,0,0,141.21199808219862,128.0,1024.0
Asus,Gaming,Intel Core i7,8,Nvidia,Windows,3.0,62231.04,0,0,127.33567457123112,128.0,1024.0
